GeneID	e125_1	e125_2	e125_3	e165_1	e165_2	e165_3	adult_1	adult_2	adult_3
ensmusg00000046334	0	1	3	0	4	0	0	0	0
ensmusg00000088916	2	0	0	0	0	0	0	0	0
ensmusg00000046101	3	3	18	9	3	15	2	4	5
ensmusg00000098234	43	53	62	14	44	37	14	23	11
ensmusg00000093178	77	99	100	97	64	120	168	101	109
ensmusg00000099032	0	0	2	15	7	0	2	0	10
ensmusg00000104025	0	0	0	0	0	0	0	0	0
ensmusg00000025916	1	0	1	54	26	17	70	51	62
ensmusg00000087199	0	0	0	0	0	0	0	0	0
ensmusg00000095780	0	0	0	0	0	0	0	0	0
ensmusg00000025917	717	859	1120	450	633	1054	406	566	427
ensmusg00000056763	1028	562	1170	1029	794	1485	954	1231	752
ensmusg00000102356	0	0	0	0	0	0	0	0	0
ensmusg00000067851	1926	1595	2340	1370	1192	2319	1614	2030	1187
ensmusg00000088153	0	0	0	0	0	0	0	0	0
ensmusg00000102556	29	7	29	5	1	3	15	16	5
ensmusg00000042501	1	0	0	0	0	0	0	1	5
ensmusg00000103810	0	0	0	0	0	0	4	0	0
ensmusg00000083422	0	0	0	0	0	2	1	0	0
ensmusg00000094979	0	0	0	0	0	0	0	0	0
ensmusg00000081417	0	0	0	2	1	1	0	0	0
ensmusg00000103448	0	0	0	0	0	0	0	0	0
ensmusg00000100212	0	0	0	0	0	0	0	0	0
ensmusg00000100648	1	0	1	0	0	0	0	0	0
ensmusg00000088585	0	0	0	0	0	0	0	0	0
ensmusg00000048960	419	320	366	544	295	632	826	1007	485
ensmusg00000077318	0	0	0	0	0	0	0	0	0
ensmusg00000101827	0	0	0	2	0	0	0	0	0
ensmusg00000103494	0	0	0	0	0	0	1	1	0
ensmusg00000057715	22	10	2	184	116	311	168	240	183
ensmusg00000103825	0	0	1	3	0	0	1	9	0
ensmusg00000099845	0	0	0	0	0	0	0	0	0
ensmusg00000103561	0	0	0	1	0	0	0	0	0
ensmusg00000101610	1	0	0	1	1	1	0	0	1
ensmusg00000093864	1	1	1	1	1	2	1	0	0
ensmusg00000098555	0	0	0	0	0	0	0	0	0
ensmusg00000097628	1	1	0	1	5	0	1	1	0
ensmusg00000098163	0	0	0	0	0	0	0	0	0
ensmusg00000097171	0	0	1	0	0	0	0	0	0
ensmusg00000101314	0	0	0	2	2	0	0	0	0
ensmusg00000016918	3836	1787	2200	1046	828	2886	798	912	349
ensmusg00000025938	194	258	321	47	92	240	14	17	18
ensmusg00000104518	0	0	0	0	0	0	0	0	0
ensmusg00000069620	0	0	0	0	0	0	0	0	0
ensmusg00000099498	0	0	0	0	0	0	0	0	0
ensmusg00000042414	1	0	0	0	0	0	0	0	0
ensmusg00000005886	1643	1300	1975	1161	925	2119	1214	1571	829
ensmusg00000103506	4	8	5	1	0	1	0	6	0
ensmusg00000103495	7	2	10	10	1	0	1	1	9
ensmusg00000099183	0	0	0	0	0	0	0	0	0
ensmusg00000102639	0	0	2	0	0	0	0	0	0
ensmusg00000104170	5	1	2	8	0	3	0	1	0
ensmusg00000087782	0	0	3	4	0	0	0	0	0
ensmusg00000103085	13	2	19	35	8	5	6	24	5
ensmusg00000102664	13	3	9	7	3	1	2	1	4
ensmusg00000101476	0	0	0	6	0	0	0	0	1
ensmusg00000101171	1	0	0	0	0	1	0	0	0
ensmusg00000025935	615	697	873	737	499	998	985	1078	678
ensmusg00000025937	148	124	195	202	67	199	249	240	204
ensmusg00000102982	1	0	0	3	0	0	6	4	0
ensmusg00000067813	0	1	0	0	0	0	0	0	0
ensmusg00000077368	0	0	0	0	0	0	0	0	0
ensmusg00000097711	3	6	4	2	3	5	4	9	9
ensmusg00000102166	0	2	0	0	0	0	0	0	7
ensmusg00000089358	0	0	0	0	0	0	0	0	0
ensmusg00000104209	0	0	2	0	0	0	0	0	0
ensmusg00000025932	45	38	30	13	24	35	16	39	33
ensmusg00000095853	0	0	0	0	0	0	0	0	0
ensmusg00000102588	0	0	0	0	0	0	0	0	0
ensmusg00000054493	0	0	0	0	1	16	5	3	0
ensmusg00000025930	0	0	0	2	1	0	0	0	6
ensmusg00000103492	0	0	0	0	0	0	2	0	4
ensmusg00000081201	0	0	1	0	0	0	0	1	0
ensmusg00000082193	15	20	35	7	10	17	15	10	9
ensmusg00000032769	5	1	0	0	5	2	0	0	0
ensmusg00000088159	0	0	0	0	0	2	0	0	0
ensmusg00000073737	1	1	2	0	0	1	2	3	2
ensmusg00000092083	77	54	128	196	122	376	191	244	182
ensmusg00000102937	10	2	3	0	0	10	0	15	0
ensmusg00000104149	4	2	1	2	0	2	0	0	0
ensmusg00000088829	0	0	0	0	3	0	0	2	0
ensmusg00000077377	0	0	0	0	0	0	1	0	0
ensmusg00000101652	0	0	0	0	0	0	0	0	0
ensmusg00000100814	0	0	0	0	0	0	0	0	0
ensmusg00000025925	340	323	396	228	185	353	201	254	185
